Rk,Player,ThreesMade,ThreesAttempt,ThreePointPer,PPG
122,Oshae Brissett,1.2,3.5,0.35,9.1
123,Jalen Brunson,1.2,3.2,0.373,16.3
124,Aaron Gordon,1.2,3.5,0.335,15
125,Cameron Payne,1.2,3.6,0.336,10.8
126,Taurean Prince,1.2,3.3,0.376,7.3
127,Austin Rivers,1.2,3.4,0.342,6
128,Terrence Ross,1.2,4.2,0.292,10
129,Franz Wagner,1.2,3.4,0.354,15.2
130,Ziaire Williams,1.2,3.9,0.314,8.1
131,Giannis Antetokounmpo,1.1,3.6,0.293,29.9
132,Wendell Carter Jr.,1.1,3.5,0.327,15
133,Tyus Jones,1.1,2.8,0.39,8.7
134,Furkan Korkmaz,1.1,4,0.289,7.6
135,Caleb Martin,1.1,2.6,0.413,9.2
136,Jaden McDaniels,1.1,3.6,0.317,9.2
137,Trey Murphy III,1.1,3,0.382,5.4
138,Pascal Siakam,1.1,3.2,0.344,22.8
139,P.J. Tucker,1.1,2.7,0.415,7.6
140,Deni Avdija,1,3.2,0.317,8.4
141,Jevon Carter,1,2.6,0.388,4.2
142,Torrey Craig,1,3,0.329,6.6
143,R.J. Hampton,1,2.9,0.35,7.6
144,Cory Joseph,1,2.4,0.414,8
145,Damion Lee,1,3,0.337,7.4
146,Chimezie Metu,1,3.1,0.306,8.9
147,Jaylen Nowell,1,2.6,0.394,8.5
148,Chris Paul,1,3.1,0.317,14.7
149,Garrett Temple,1,3.1,0.319,5.2
150,Moritz Wagner,1,3.2,0.328,9
151,Russell Westbrook,1,3.4,0.298,18.5
